"","X","id","DateTime","lat","lon","qi","sigmam2"
"1",1,45514,2020-09-21 03:00:12,-45.77268,170.59976,7,NA
"2",2,45514,2020-09-21 04:00:12,-45.77104,170.60002,3,NA
"3",3,45514,2020-09-21 05:00:05,-45.7737,170.5972,8,700.043433849577
"4",4,45514,2020-09-21 07:00:04,-45.77268,170.59965,7,350.021744563547
"5",5,45514,2020-09-21 08:00:09,-45.77255,170.59806,5,5.52775172387168e-05
"6",6,45514,2020-09-21 09:00:08,-45.77265,170.59775,6,5.52775172387168e-05
"7",7,45514,2020-09-21 10:00:09,-45.77255,170.59784,6,5.52775172387168e-05
"8",8,45514,2020-09-21 11:00:04,-45.77269,170.59773,6,5.52775172387168e-05
"9",9,45514,2020-09-21 12:00:05,-45.77265,170.59774,7,5.52775172387168e-05
"10",10,45514,2020-09-21 13:00:04,-45.77263,170.5978,6,5.52775172387168e-05
"11",11,45514,2020-09-21 14:00:05,-45.77265,170.59784,6,5.52775172387168e-05
"12",12,45514,2020-09-21 15:00:03,-45.77257,170.59783,7,5.52775172387168e-05
"13",13,45514,2020-09-21 16:00:03,-45.77248,170.59786,7,55.0331062367027
"14",14,45514,2020-09-21 17:00:07,-45.77258,170.59795,6,198.882355550496
"15",15,45514,2020-09-21 18:00:04,-45.77232,170.59544,6,198.882355550496
"16",16,45514,2020-09-21 19:00:08,-45.77404,170.59474,5,177.998208138355
"17",17,45514,2020-09-21 20:00:09,-45.77458,170.59528,5,352.471014511462
"18",18,45514,2020-09-21 21:00:08,-45.77279,170.59405,4,345.559075063042
"19",19,45514,2020-09-21 22:00:07,-45.77423,170.59708,6,551.252536348403
"20",20,45514,2020-09-21 23:00:08,-45.77485,170.59758,7,528.083028116963
"21",21,45514,2020-09-22 00:00:05,-45.77283,170.59883,8,493.827532901695
"22",22,45514,2020-09-22 01:00:08,-45.77282,170.59891,4,1441.81460788327
"23",23,45514,2020-09-22 02:00:06,-45.77022,170.5927,4,1578.45166287688
"24",24,45514,2020-09-22 03:00:08,-45.77323,170.59506,6,785.724921915872
"25",25,45514,2020-09-22 05:00:08,-45.77278,170.60259,5,687.096873887977
"26",26,45514,2020-09-22 07:00:04,-45.77416,170.60279,6,687.096873887977
"27",27,45514,2020-09-22 08:00:05,-45.77266,170.59783,7,717.688806590212
"28",28,45514,2020-09-22 09:00:04,-45.77341,170.59255,5,469.544818347859
"29",29,45514,2020-09-22 10:00:05,-45.77341,170.59261,6,161.269751894228
"30",30,45514,2020-09-22 11:00:04,-45.77336,170.59244,4,161.269751894228
"31",31,45514,2020-09-22 12:00:06,-45.77317,170.59291,5,107.265963045334
"32",32,45514,2020-09-22 13:00:06,-45.77342,170.59261,6,107.495021284812
"33",33,45514,2020-09-22 14:00:02,-45.77248,170.59537,6,244.789591738568
"34",34,45514,2020-09-22 14:59:59,-45.7727,170.5979,6,247.118670228455
"35",35,45514,2020-09-22 15:59:59,-45.77251,170.59777,6,412.411634790749
"36",36,45514,2020-09-22 16:59:59,-45.77267,170.59782,7,1456.95990241608
"37",37,45514,2020-09-22 18:00:02,-45.77252,170.59136,8,1677.37852784351
"38",38,45514,2020-09-22 19:00:04,-45.77178,170.59228,4,1829.86474933165
"39",39,45514,2020-09-22 20:00:04,-45.77429,170.59868,7,1890.47074581994
"40",40,45514,2020-09-22 21:00:05,-45.77367,170.5954,3,2150.67004129426
"41",41,45514,2020-09-22 23:00:03,-45.7725,170.60221,4,1986.74123153255
"42",42,45514,2020-09-23 00:00:04,-45.77384,170.59652,6,596.198954994228
"43",43,45514,2020-09-23 01:00:04,-45.77305,170.59774,5,388.017983783519
"44",44,45514,2020-09-23 01:59:58,-45.77396,170.59731,7,452.700016085817
"45",45,45514,2020-09-23 03:00:04,-45.77302,170.59922,7,315.875258214633
"46",46,45514,2020-09-23 04:59:58,-45.77275,170.59995,7,362.010961926432
"47",47,45514,2020-09-23 07:00:01,-45.77394,170.59658,4,382.366653718477
"48",48,45514,2020-09-23 08:00:03,-45.7727,170.59797,5,448.366874571046
"49",49,45514,2020-09-23 09:00:03,-45.77387,170.59587,4,246.067656923027
"50",50,45514,2020-09-23 11:00:03,-45.77281,170.59758,6,5.52775172387168e-05
"51",51,45514,2020-09-23 11:59:57,-45.77284,170.59765,6,5.52775172387168e-05
"52",52,45514,2020-09-23 12:59:59,-45.77261,170.59748,7,5.52775172387168e-05
"53",53,45514,2020-09-23 13:59:59,-45.77267,170.59757,7,5.52775172387168e-05
"54",54,45514,2020-09-23 14:59:56,-45.7727,170.59759,7,5.52775172387168e-05
"55",55,45514,2020-09-23 15:59:55,-45.77269,170.59758,6,5.52775172387168e-05
"56",56,45514,2020-09-23 16:59:56,-45.77263,170.5976,6,522.591244695212
"57",57,45514,2020-09-23 18:00:02,-45.77208,170.59757,5,548.741434141629
"58",58,45514,2020-09-23 19:00:05,-45.77339,170.59584,3,548.741434141629
"59",59,45514,2020-09-23 19:59:59,-45.77301,170.5934,6,1013.31842324554
"60",60,45514,2020-09-23 21:00:01,-45.77399,170.59944,4,597.901328189159
"61",61,45514,2020-09-23 22:00:01,-45.77379,170.59703,6,173.720682819978
"62",62,45514,2020-09-23 22:59:55,-45.7734,170.59684,7,173.720682819978
"63",63,45514,2020-09-24 00:00:01,-45.77357,170.59513,3,265.522117887337
"64",64,45514,2020-09-24 02:59:58,-45.77251,170.59897,5,659.094070061037
"65",65,45514,2020-09-24 06:00:00,-45.77495,170.60346,4,723.362197983967
